Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Actual Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Latitude,Beneficiary Location:0:Longitude,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Latitude,Beneficiary Location:1:Longitude,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Latitude,Beneficiary Location:2:Longitude,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Latitude,Beneficiary Location:3:Longitude,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Latitude,Beneficiary Location:4:Longitude,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,From an open call?,Related Activity,Last modified,Data Source
360G-zing-13,0% Interest bridging loan for an NCS contract,Social Investment 0% interest loan to act as bridging loan for NCS contract and then medium term loan for Youth Achievement Foundation further pilot programme,GBP,100000,100000,100000,2012-12-01,https://www.ukyouth.org/,2012-12-01,2015-12-01,2015-12-01,36,GB-CHC-1110590,UK Youth,1110590,05402004,"483 & 485 Liverpool Road, Islington",London,N7 8PG,UK Youth is a charity at the heart of a national network of organisations dedicated to supporting young people to realise their potential. Their focus is on developing and promoting non-formal learning opportunities for all.,https://www.ukyouth.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-14,Core funding,Core funding leverage by Impetus PEF,GBP,25000,25000,25000,2013-07-01,https://www.unitas.uk.net/,2013-07-01,2014-07-01,2014-07-01,12,GB-CHC-1133286,Unitas,1133286,,"Eastgate Place, Salhouse Road",Norwich,NR13 6LA,"Unitas designs unique programmes fro individuals at risk of social exclusion. Over the last three years, they have developmed several innovative programme models grounded in the latested educational and youth justice research. ",https://www.unitas.uk.net/,East of England,GB,,,E12000006,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-15,ACET and VSLA pilot,To support the ACET Orphans Affair Council and Village Savings and Loans Associations (VSLA),GBP,50000,50000,50000,2013-09-01,https://www.weseehope.org.uk,2013-09-01,2014-09-01,2014-06-30,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Zambia,ZM,,,,,Uganda,UG,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-16,State school alumni volunteer database development,This fund is primarily to be used for the further development of the technology platofrm underpinning the alumni engagement system originally developed in 2012.,GBP,40000,40000,40000,2013-05-01,https://futurefirst.org.uk/,2013-05-01,2014-05-01,2014-05-01,12,GB-CHC-1135638,Future First,1135638,,338 City Road,London,EC1V 2PY,"Future First have a vision that every state secondary school and college should be supported by a thriving, engaged alumni community that helps each one to do more for its students. ",https://futurefirst.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-17,State school alumni volunteer database development,This extra funding is a loan for social investment to bridge the gap before all schools pay for the service,GBP,60000,60000,60000,2013-12-01,https://futurefirst.org.uk/,2013-12-01,2016-12-01,2016-12-01,36,GB-CHC-1135638,Future First,1135638,,338 City Road,London,EC1V 2PY,"Future First have a vision that every state secondary school and college should be supported by a thriving, engaged alumni community that helps each one to do more for its students. ",https://futurefirst.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-18,Technology strategy and roadmap,Development of a technology strategy and a roadmap,GBP,10000,10000,10000,2013-06-01,http://www.restlessdevelopment.org/,2013-06-01,2014-01-01,2014-01-01,6,GB-CHC-1127488,Restless Development,1127488,06741123,7 Wootton Street,London,SE1 8TG,Restless Development are the youth-led development agency. Their staff and volunteers are experts in youth-led development. The organisation is driven forward by young people and young professionals around the world.,http://restlessdevelopment.org/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-19,HR system configuration,Funds are used to fund the hosting and configuration costs of their HR system.,GBP,600,600,600,2013-12-01,https://www.ukyouth.org/,2013-12-01,2014-12-01,2014-12-01,12,GB-CHC-1110590,UK Youth,1110590,05402004,"483 & 485 Liverpool Road, Islington",London,N7 8PG,UK Youth is a charity at the heart of a national network of organisations dedicated to supporting young people to realise their potential. Their focus is on developing and promoting non-formal learning opportunities for all.,https://www.ukyouth.org/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-20,Core open-source functionality development,"Funds are used to help develop the open source CRM platform, CiviCRM.",USD,180000,180000,180000,2013-07-01,https://civicrm.org/,2013-07-01,2014-07-01,2013-12-31,12,US-EIN-52-2173971,Progressive Technology Trust,EIN 52-2173971,,PO Box 303190,"Austin, TX",78703,"CiviCRM is an open source CRM built by a community of contributors and supporters, and coordinated by the Core Team. CiviCRM is web-based software used by a diverse range of organisations, particularly not-for-profit organizations (nonprofts and civic sector organizations). CiviCRM offers a complete feature set out of the box and can integrate with your website.",https://civicrm.org/,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-21,Edukit pilot funding,Funds are used to help pilot the program with schools and support the leverage of further funding from other investors.,GBP,25000,25000,25000,2013-12-01,https://www.edukit.org.uk/,2013-12-01,2014-12-01,2014-12-01,12,GB-COH-08854410,Edukit,,08854410,80 West Ham Lane,London,E15 4PT,"Edukit is the only one-stop-shop connecting teachers to thousands of development programmes across London. We are a social enterprise, putting people before profit. ",https://www.edukit.org.uk/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-22,Technology project funding,Funding for the priority projects outlined in Technology Road Map,GBP,30000,30000,30000,2014-01-01,http://www.restlessdevelopment.org/,2014-01-01,2014-10-01,2014-10-01,9,GB-CHC-1127488,Restless Development,1127488,06741123,7 Wootton Street,London,SE1 8TG,Restless Development are the youth-led development agency. Their staff and volunteers are experts in youth-led development. The organisation is driven forward by young people and young professionals around the world.,http://restlessdevelopment.org/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-23,ADA College seed funding,Seed funding to get a Further Education College for digital skills off the ground (ADA College),GBP,12500,12500,12500,2014-01-01,https://ada.ac.uk/,2014-01-01,2014-07-01,2014-07-01,6,GB-CHC-1158399,NCDS,1158399,,"Ada. National College for Digital Skills, Broad Lane",London,N15 4AG,A new College focussed on Computing and Coding,http://www.ncdigitalskills.org.uk/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-24,Core funding to develop and scale the Spear Course model,Core funding to develop the Spear Course model and scale to another centre,GBP,105000,105000,105000,2014-04-01,http://www.resurgo.org.uk/,2014-04-01,2015-04-01,2015-04-01,12,GB-CHC-1100885,Resurgo Trust,1100885,04670794,"St Paul's Place, Macbeth St",London,W6 9JJ,Resurgo's main initiative Spear bridges the gap between unemployed young people and businesses,http://www.resurgo.org.uk/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-25,VSLA pilot,To support the scaling up of the Village Savings and Loans Associations (VSLA) pilot in East Africa,GBP,50000,50000,50000,2014-09-01,https://www.weseehope.org.uk,2014-09-01,2015-09-01,2015-06-30,12,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Zambia,ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-26,Core open-source functionality development,"Funds are used to help develop the open source CRM platform, CiviCRM.",USD,100000,100000,100000,2014-12-01,https://civicrm.org/,2014-12-01,2015-12-01,2015-06-30,12,US-EIN-52-2173971,Progressive Technology Trust,EIN 52-2173971,,PO Box 303190,"Austin, TX",78703,"CiviCRM is an open source CRM built by a community of contributors and supporters, and coordinated by the Core Team. CiviCRM is web-based software used by a diverse range of organisations, particularly not-for-profit organizations (nonprofts and civic sector organizations). CiviCRM offers a complete feature set out of the box and can integrate with your website.",https://civicrm.org/,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-27,Technology development,For development of a technology platform and related systems to transform the way that youth work can be delivered across the UK Youth network,GBP,100000,100000,100000,2015-02-01,https://www.ukyouth.org/,2015-02-01,2017-02-01,2017-02-01,24,GB-CHC-1110590,UK Youth,1110590,05402004,"483 & 485 Liverpool Road, Islington",London,N7 8PG,UK Youth is a charity at the heart of a national network of organisations dedicated to supporting young people to realise their potential. Their focus is on developing and promoting non-formal learning opportunities for all.,https://www.ukyouth.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-28,"Development of impact assessment, systems and resources strategy","For development of impact assessment strategy, systems and resources",GBP,50000,50000,50000,2015-03-01,https://www.greenhousesports.org/,2015-03-01,2016-03-01,2016-03-01,12,GB-CHC-1098744,Greenhouse Sports,1098744,04600790,"Unit 2D Woodstock Studios, 36 Woodstock Grove",London,W12 8LE,"Greenhouse empower disadvantaged young people through sport and performing arts, helping them to overcome adversity and achieve their goals by: Raising aspirations and achievements; Developing positive life skills such as self-discipline, teamwork and self-respect; Improving behaviour and attitudes; Developing technical skills and talent. ",https://www.greenhousesports.org/,London,GB,,,E12000007,RGN/GOR,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-29,Teaching Assistant CPD programme seed funding,Seed funding for a highly innovative professional development programme for Teaching Assistants,GBP,15000,15000,15000,2015-03-01,http://www.inclusiveclassrooms.co.uk/,2015-03-01,2016-03-01,2016-03-01,12,GB-COH-09626570,Inclusive Classrooms,,09626570,338 City Road,London,EC1V 2PY,"Inclusive Classrooms works with primary schools across England to transforming the efficacy of their Teaching Assistants (TAs). They offer the only UK based, ‘on the job’ professional development and training programme that focuses specifically on the role of Teaching Assistants.",http://www.inclusiveclassrooms.co.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-30,Seed funding to pilot solutions to education inequality,"Seed funding to develop, pilot and scale solutions to education inequality",GBP,15000,15000,15000,2015-04-01,http://www.righttosucceed.org.uk/,2015-04-01,2016-04-01,2016-04-01,12,GB-CHC-1160886,Right To Succeed,1160886,08689873,4 More London Riverside,London,SE1 2AU,"Our vision is that the only barriers to success should be hard work and focus. We therfore aim to eliminate the effects of poverty and system failure upon the achievement of young people, giving every child the Right to Succeed.",http://righttosucceed.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-31,Core funding for programme growth,"Core funding to support the growth of their programme to equip young people with the skills, experiences and aspirations they need to succeed in life",GBP,25000,25000,25000,2015-04-01,http://www.enablingenterprise.org/,2015-04-01,2016-04-01,2016-04-01,12,GB-COH-06945061,Enabling Enterprise,,06945061,"18 Victoria Park Square, Bethnal Green",London,E2 9PF,"Enabling Enterprise is an award-winning not-for-profit social enterprise, set up by a team of teachers in 2009. Our mission is to equip young people with the skills, experiences and aspirations they need to succeed in life. Without a balanced approach to academics and life skills, young people will be ill equipped for the next stage of their lives - a fact reflected in the growing youth unemployment rate, and summaried in a Sunday Times headlines as ""schools are churning out the unemployable"".",http://enablingenterprise.org/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-32,Core programme funding,Core funding in support of their programme to empower young people to become agents of change,GBP,50000,50000,50000,2015-05-01,https://www.we.org/gb/,2015-05-01,2016-05-01,2016-05-01,12,GB-CHC-1138645,Free The Children,1138645,07306686,"Hanover House, 14 Hanover Square",London,W1S 1HP,"Free The Children empowers international change. WE make this change through our holistic, sustainable international development model, Adopt a Village. ",https://www.we.org/gb/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-33,Digital Transformation in the Social Sector programme seed funding,Seed funding to support the setting up of their Digital Transformation in the Social Sector,GBP,10000,10000,10000,2015-05-01,https://www.thinknpc.org/themes/discover-ideas-and-approaches/digital/,2015-05-01,2016-05-01,2016-05-01,12,GB-CHC-1091450,NPC,1091450,04244715,185 Park Street,London,SE1 9BL,"NPC is in a unique positin to understand and influence the charity sector. Our team brings the practical insights and knowledge we have gained over 13+ years advising charities, social enterprises, grant-makers, donors and corporate clients.  

We combine this with our perspective as an indepent think tank, which gives us an overview of future trends, the latest thinking on how to improve the impact of charities and their funders, and insights on the issues that matter to the sector.

We're a registered charity and we share your passion for making the efforts, energy, and resources of charities go further. ",https://www.thinknpc.org/,United Kingdom,GB,,,K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-34,Matched core funding for the iWill campaign team,Matched core funding to support the team in acheiving the ambitious goals of the iWill Campaign,GBP,25000,25000,25000,2015-05-01,https://www.iwill.org.uk/,2015-05-01,2016-05-01,2016-05-01,12,GB-CHC-1154588,Step Up To Serve,1154588,08729271,202 Lambeth Road,London,SE1 7JW,"#iwill is a national campaign that aims to make social action part of life for as many 10 to 20 year-olds as possible by the year 2020. Through collaboration and partnership it is spreading the word about benefits of oyuth social action, working to embed it in the journey of young people and creating fresh opportunities for the participation. The campaign is being coordinated by the charity Step Up To Serve, governed by an independent board and had cross-party support. ",https://www.iwill.org.uk/,England,GB,,,E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-35,VIP programme,Funding to further scale the Village Investor Programme (VIP) which enables communities to economically support vulnerable children for the long term.,GBP,50000,50000,50000,2015-06-01,https://www.weseehope.org.uk,2015-06-01,2016-01-01,2016-01-01,6,GB-CHC-1079385,We See Hope,1079385,03926278,79 Craven Gardens,London,SW19 8LU,"We See Hope is helping some 50,000 vulnerable children and young people through some 40 partner organisations in 400 communities in sub-Saharan Africa. They are defined by: Productive partnerships; Investment; Enterprise and innocation; Being positive and passionate about potential.",https://www.weseehope.org.uk/,Kenya,KE,,,,,Malawi,MW,,,,,Tanzania,TZ,,,,,Uganda,UG,,,,,Zimbabwe,ZW,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-36,Research funding on best practice alumni engagement,"Funding to support a significant piece of global research on Best Practice Alumni Engagement, Tools and Case Studies",GBP,25000,25000,25000,2015-09-01,http://www.futurefirstglobal.org/,2015-09-01,2016-03-01,2016-03-01,6,GB-CHC-1150964,Future First Global,1150964,,338 City Road,London,EC1V 2PY,"FutureFirst Global work with governments, schools, teachers and NGOs to support the growth of high school alumni networks globally, in order to make sure students are learning skills and gaining experience that will enable them to get a job.",http://www.futurefirstglobal.org/,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
360G-zing-37,Entrepreneur Panel programme funding,Funding to support the Entrepreneur Panel programme,GBP,10000,10000,10000,2015-09-01,http://www.restlessdevelopment.org/,2015-09-01,2016-09-01,2016-09-01,12,GB-CHC-1127488,Restless Development,1127488,06741123,7 Wootton Street,London,SE1 8TG,Restless Development are the youth-led development agency. Their staff and volunteers are experts in youth-led development. The organisation is driven forward by young people and young professionals around the world.,http://restlessdevelopment.org/,Tanzania,TZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB-CHC-1133342,ZING,,,ZING,,No,,2021-05-25T12:09:12Z,https://zing.org.uk/
